"index" "esu" "pop" "year" "parents" "offsprings"
1 "PS" "Cascade River" "1981" "295" "344"
1 "PS" "Cascade River" "1982" "198" "2458"
1 "PS" "Cascade River" "1983" "146" "1801"
1 "PS" "Cascade River" "1984" "113" "523"
1 "PS" "Cascade River" "1985" "100" "836"
1 "PS" "Cascade River" "1986" "380" "920"
1 "PS" "Cascade River" "1987" "200" "402"
1 "PS" "Cascade River" "1988" "133" "642"
1 "PS" "Cascade River" "1989" "218" "444"
1 "PS" "Cascade River" "1990" "269" "351"
1 "PS" "Cascade River" "1991" "135" "388"
1 "PS" "Cascade River" "1992" "205" "277"
1 "PS" "Cascade River" "1993" "168" "778"
1 "PS" "Cascade River" "1994" "173" "527"
1 "PS" "Cascade River" "1995" "225" "92"
1 "PS" "Cascade River" "1996" "208" "478"
1 "PS" "Cascade River" "1997" "308" "1379"
1 "PS" "Cascade River" "1998" "323" "339"
1 "PS" "Cascade River" "1999" "83" "433"
1 "PS" "Cascade River" "2000" "273" "524"
1 "PS" "Cascade River" "2001" "625" "479"
1 "PS" "Cascade River" "2002" "340" "559"
1 "PS" "Cascade River" "2003" "298" "273"
1 "PS" "Cascade River" "2004" "380" "455"
1 "PS" "Cascade River" "2005" "420" "562"
2 "PS" "Cedar Creek" "1965" "1046" "548"
2 "PS" "Cedar Creek" "1966" "1896" "5683"
2 "PS" "Cedar Creek" "1967" "1343" "4176"
2 "PS" "Cedar Creek" "1968" "1433" "15"
2 "PS" "Cedar Creek" "1969" "500" "4392"
2 "PS" "Cedar Creek" "1970" "1746" "3535"
2 "PS" "Cedar Creek" "1971" "505" "733"
2 "PS" "Cedar Creek" "1972" "452" "4085"
2 "PS" "Cedar Creek" "1973" "1040" "47"
2 "PS" "Cedar Creek" "1974" "598" "6937"
2 "PS" "Cedar Creek" "1975" "657" "2019"
2 "PS" "Cedar Creek" "1976" "469" "9099"
2 "PS" "Cedar Creek" "1977" "688" "2060"
2 "PS" "Cedar Creek" "1978" "967" "3410"
2 "PS" "Cedar Creek" "1979" "1268" "5506"
2 "PS" "Cedar Creek" "1980" "1400" "3336"
2 "PS" "Cedar Creek" "1981" "668" "8347"
2 "PS" "Cedar Creek" "1982" "786" "1013"
2 "PS" "Cedar Creek" "1983" "849" "4575"
2 "PS" "Cedar Creek" "1984" "912" "2607"
2 "PS" "Cedar Creek" "1985" "832" "708"
2 "PS" "Cedar Creek" "1986" "980" "3798"
2 "PS" "Cedar Creek" "1987" "1561" "20"
2 "PS" "Cedar Creek" "1988" "598" "4353"
2 "PS" "Cedar Creek" "1989" "559" "80"
2 "PS" "Cedar Creek" "1990" "521" "307"
2 "PS" "Cedar Creek" "1991" "510" "2085"
2 "PS" "Cedar Creek" "1992" "531" "443"
2 "PS" "Cedar Creek" "1993" "189" "222"
2 "PS" "Cedar Creek" "1994" "466" "585"
2 "PS" "Cedar Creek" "1995" "689" "585"
2 "PS" "Cedar Creek" "1996" "320" "8"
2 "PS" "Cedar Creek" "1997" "243" "1437"
2 "PS" "Cedar Creek" "1998" "433" "1003"
2 "PS" "Cedar Creek" "1999" "274" "759"
2 "PS" "Cedar Creek" "2000" "126" "1036"
2 "PS" "Cedar Creek" "2001" "836" "853"
2 "PS" "Cedar Creek" "2002" "389" "1249"
2 "PS" "Cedar Creek" "2003" "571" "3698"
2 "PS" "Cedar Creek" "2004" "601" "1822"
2 "PS" "Cedar Creek" "2005" "542" "763"
3 "PS" "Dungeness River" "1986" "238" "491"
3 "PS" "Dungeness River" "1987" "100" "65"
3 "PS" "Dungeness River" "1988" "335" "371"
3 "PS" "Dungeness River" "1989" "88" "60"
3 "PS" "Dungeness River" "1990" "310" "60"
3 "PS" "Dungeness River" "1991" "163" "234"
3 "PS" "Dungeness River" "1992" "153" "149"
3 "PS" "Dungeness River" "1993" "43" "47"
3 "PS" "Dungeness River" "1994" "65" "130"
3 "PS" "Dungeness River" "1995" "163" "54"
3 "PS" "Dungeness River" "1996" "183" "478"
3 "PS" "Dungeness River" "1997" "50" "110"
3 "PS" "Dungeness River" "1998" "110" "1132"
3 "PS" "Dungeness River" "1999" "75" "423"
3 "PS" "Dungeness River" "2000" "218" "1421"
3 "PS" "Dungeness River" "2001" "453" "1486"
3 "PS" "Dungeness River" "2002" "633" "1340"
3 "PS" "Dungeness River" "2003" "640" "608"
3 "PS" "Dungeness River" "2004" "953" "432"
3 "PS" "Dungeness River" "2005" "955" "326"
4 "PS" "Duwamish River" "1968" "5248" "16052"
4 "PS" "Duwamish River" "1969" "4274" "657"
4 "PS" "Duwamish River" "1970" "11551" "29315"
4 "PS" "Duwamish River" "1971" "5848" "9368"
4 "PS" "Duwamish River" "1972" "4783" "30335"
4 "PS" "Duwamish River" "1973" "3363" "6675"
4 "PS" "Duwamish River" "1974" "5346" "807"
4 "PS" "Duwamish River" "1975" "3480" "27202"
4 "PS" "Duwamish River" "1976" "3150" "34078"
4 "PS" "Duwamish River" "1977" "4365" "1285"
4 "PS" "Duwamish River" "1978" "3884" "1349"
4 "PS" "Duwamish River" "1979" "9725" "29291"
4 "PS" "Duwamish River" "1980" "7765" "32597"
4 "PS" "Duwamish River" "1981" "4798" "15940"
4 "PS" "Duwamish River" "1982" "2014" "758"
4 "PS" "Duwamish River" "1983" "3840" "21586"
4 "PS" "Duwamish River" "1984" "3363" "23845"
4 "PS" "Duwamish River" "1985" "3231" "16165"
4 "PS" "Duwamish River" "1986" "5408" "52907"
4 "PS" "Duwamish River" "1987" "10731" "11759"
4 "PS" "Duwamish River" "1988" "8466" "24670"
4 "PS" "Duwamish River" "1989" "11512" "6467"
4 "PS" "Duwamish River" "1990" "7104" "13239"
4 "PS" "Duwamish River" "1991" "10548" "10816"
4 "PS" "Duwamish River" "1992" "5692" "12342"
4 "PS" "Duwamish River" "1993" "2559" "17648"
4 "PS" "Duwamish River" "1994" "4284" "8609"
4 "PS" "Duwamish River" "1995" "9219" "15934"
4 "PS" "Duwamish River" "1996" "6428" "8172"
